Nome,Data de nascimento,Altura (m),Peso (Kg),Nacionalidade,Gênero,Grupo,Posição,Número da camisa,Pontos,Bloqueios,Número de jogos,Modalidade,Competição
Franciane Tomazoni,05/11/1991,1.81,72,Brasil,Feminino,Gerdau/Minas,Levantadora,1,115,63,27,Vôlei,Superliga Brasileira de Voleibol Feminino
Jenna Gray,28/02/1998,1.86,66,Estados Unidos,Feminino,Gerdau/Minas,Levantadora,10,98,58,25,Vôlei,Superliga Brasileira de Voleibol Feminino
Amanda Marques,23/03/1999,1.85,70,Brasil,Feminino,Gerdau/Minas,Oposta,7,468,50,26,Vôlei,Superliga Brasileira de Voleibol Feminino
Kisy Nascimento,28/01/2000,1.90,81,Brasil,Feminino,Gerdau/Minas,Oposta,9,474,48,27,Vôlei,Superliga Brasileira de Voleibol Feminino
Victoria Castelloes,30/05/2006,1.86,73,Brasil,Feminino,Gerdau/Minas,Ponteira,4,430,61,27,Vôlei,Superliga Brasileira de Voleibol Feminino
Priscila Daroit,10/08/1988,1.84,75,Brasil,Feminino,Gerdau/Minas,Ponteira,5,380,49,27,Vôlei,Superliga Brasileira de Voleibol Feminino
Celeste Plak,26/10/1995,1.90,84,Países Baixos,Feminino,Gerdau/Minas,Ponteira,14,395,51,26,Vôlei,Superliga Brasileira de Voleibol Feminino
Glayce Vasconcelos,28/01/1988,1.87,73,Brasil,Feminino,Gerdau/Minas,Ponteira,15,403,54,26,Vôlei,Superliga Brasileira de Voleibol Feminino
Yonkaira Peña,10/05/1993,1.90,70,República Dominicana,Feminino,Gerdau/Minas,Ponteira,16,401,55,24,Vôlei,Superliga Brasileira de Voleibol Feminino
Giovana Guimarães,18/10/2007,1.92,79,Brasil,Feminino,Gerdau/Minas,Central,3,260,81,27,Vôlei,Superliga Brasileira de Voleibol Feminino
Thaisa Menezes,15/05/1987,1.96,79,Brasil,Feminino,Gerdau/Minas,Central,6,192,72,24,Vôlei,Superliga Brasileira de Voleibol Feminino
Júlia Kudiess,02/01/2003,1.90,82,Brasil,Feminino,Gerdau/Minas,Central,8,220,75,25,Vôlei,Superliga Brasileira de Voleibol Feminino
Kelly Gomes,21/10/2001,1.92,79,Brasil,Feminino,Gerdau/Minas,Central,13,240,78,27,Vôlei,Superliga Brasileira de Voleibol Feminino
Rebeca Camile,21/04/2004,1.98,75,Brasil,Feminino,Gerdau/Minas,Central,18,270,93,27,Vôlei,Superliga Brasileira de Voleibol Feminino
Larissa Fortes,16/08/2004,1.71,58,Brasil,Feminino,Gerdau/Minas,Líbero,12,15,0,26,Vôlei,Superliga Brasileira de Voleibol Feminino
Erica Motta Lima,21/05/1996,1.66,65,Brasil,Feminino,Gerdau/Minas,Líbero,21,12,0,27,Vôlei,Superliga Brasileira de Voleibol Feminino