Nome,Data de nascimento,Altura (m),Peso (Kg),Nacionalidade,Gênero,Grupo,Posição,Número da camisa,Gols,Assistências,Cartões Amarelos,Cartões Vermelhos,Número de jogos,Modalidade,Competição
Rafael,23/06/1989,1.93,91,Brasil,Masculino,São Paulo FC,Goleiro,23,0,0,1,0,33,Futebol,Brasileirão Série A
Diego Costa,21/07/1999,1.83,73,Brasil,Masculino,São Paulo FC,Defensor,4,0,0,6,0,23,Futebol,Brasileirão Série A
Robert Arboleda,22/10/1991,1.88,83,Equador,Masculino,São Paulo FC,Defensor,5,0,0,1,1,20,Futebol,Brasileirão Série A
Welington,19/02/2001,1.78,73,Brasil,Masculino,São Paulo FC,Lateral,6,0,0,2,0,16,Futebol,Brasileirão Série A
Rafinha,07/09/1985,1.70,68,Brasil,Masculino,São Paulo FC,Lateral,13,0,1,10,1,25,Futebol,Brasileirão Série A
Lucas Beraldo,24/11/2003,1.85,78,Brasil,Masculino,São Paulo FC,Defensor,35,1,0,7,0,24,Futebol,Brasileirão Série A
Rodrigo Nestor,09/08/2000,1.75,67,Brasil,Masculino,São Paulo FC,Meio Campista,11,1,2,4,1,25,Futebol,Brasileirão Série A
Michel Araújo,28/09/1996,1.78,78,Uruguai,Masculino,São Paulo FC,Meio Campista,15,2,1,3,0,32,Futebol,Brasileirão Série A
James Rodríguez,12/07/1991,1.80,73,Colômbia,Masculino,São Paulo FC,Meio Campista,19,1,2,0,0,12,Futebol,Brasileirão Série A
Alisson,25/06/1993,1.73,73,Brasil,Masculino,São Paulo FC,Meio Campista,25,0,5,2,0,35,Futebol,Brasileirão Série A
Wellington Rato,18/06/1992,1.73,78,Brasil,Masculino,São Paulo FC,Meio Campista,27,0,6,6,0,32,Futebol,Brasileirão Série A
Pablo Maia,10/01/2002,1.78,72,Brasil,Masculino,São Paulo FC,Meio Campista,29,4,0,8,1,32,Futebol,Brasileirão Série A
Caio Paulista,11/05/1998,1.80,76,Brasil,Masculino,São Paulo FC,Meio Campista,38,1,2,4,0,28,Futebol,Brasileirão Série A
Lucas Moura,13/08/1992,1.73,72,Brasil,Masculino,São Paulo FC,Atacante,7,1,0,0,0,14,Futebol,Brasileirão Série A
Jonathan Calleri ,23/09/1993,1.80,78,Argentina,Masculino,São Paulo FC,Atacante,9,9,2,6,0,19,Futebol,Brasileirão Série A
Luciano,18/05/1993,1.83,82,Brasil,Masculino,São Paulo FC,Atacante,10,9,2,5,0,34,Futebol,Brasileirão Série A
Alexandre Pato,02/09/1989,1.75,72,Brasil,Masculino,São Paulo FC,Atacante,12,2,0,0,0,9,Futebol,Brasileirão Série A
David,17/10/1995,1.78,78,Brasil,Masculino,São Paulo FC,Atacante,22,2,2,5,0,22,Futebol,Brasileirão Série A
Erison,13/04/1999,1.80,83,Brasil,Masculino,São Paulo FC,Atacante,49,1,1,3,0,13,Futebol,Brasileirão Série A
Juan,07/03/2002,1.78,78,Brasil,Masculino,São Paulo FC,Atacante,31,1,1,2,0,27,Futebol,Brasileirão Série A